Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
HP Victus 15,HP,49490,2.92,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon RX 6500M Graphics,15.6,FALSE,Windows 11 OS
HP Pavilion x360,HP,77490,2.97,Intel Core i5,12,16,DDR4,1000, SSD,Intel Integrated Iris Xe,14,TRUE,Windows 11 OS
MSI Stealth 17,MSI,489883,4.49,Intel Core i9,20,64,DDR5,2000, SSD,Nvidia GeForce RTX4080,17.3,FALSE,Windows 11 OS
Dell G15 5521,Dell,99890,3.33,Intel Core i7,20,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3060,15.6,FALSE,Windows 11 OS
Acer Aspire 5,Acer,52990,3.33,Intel Core i5,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Asus Vivobook S14,Asus,74990,2.85,Intel Core i5,16,16,DDR4,512, SSD,Intel Iris Xe Graphics,14,FALSE,Windows 11 OS
Samsung Galaxy Book2,Samsung,48899,2.78,eration Intel Core,12.81790123,8,LPDDR4,512, NVMe SSD,Intel Iris Xe Graphics,15.6,FALSE,Windows 11 OS
Dell Precision 5550,Dell,184999,3.15,Intel Core i7,12,16,DDR4,512, SSD,NVIDIA,15.6,FALSE,Windows 10 OS
iBall Excelance CompBook,iBall,8000,3.94,Intel Atom Quad,12.81790123,2,DDR3,32, Hard Disk,Intel HD Graphics,11.6,FALSE,Windows 10 OS
Asus Vivobook 15,Asus,67990,2.87,Intel Core 5,12,16,DDR4,512, SSD,Integrated Intel Graphics,15.6,FALSE,Windows 11 OS
MSI Katana A17,MSI,119990,3.26,AMD Ryzen 7,16,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,17.3,FALSE,Windows 11 OS
Lenovo Legion Pro,Lenovo,297758,3.58,Intel Core i9,32,32,DDR5,1000, SSD,NVIDIA Geforce RTX 4080,16,FALSE,Windows 11 OS
Samsung Galaxy Book,Samsung,85990,2.83,Intel Core 7,12,16,LPDDR4X,512, SSD,Intel Graphics,15.6,FALSE,Windows 11 OS
Xiaomi Redmi Book,Xiaomi,69990,3.32,Intel Core Ultra,18,32,LPDDR5X,1000, SSD,Intel  ARC Graphics,16,FALSE,Windows 11 OS
Xiaomi Redmi Book,Xiaomi,59990,2.89,Intel Core Ultra,18,16,LPDDR5X,512, SSD,Intel Iris Xe Graphics,14,FALSE,Windows 11 OS
Lenovo Legion Y9000K,Lenovo,349990,4.51,Intel Core i9,32,64,DDR5,2000, SSD,NVIDIA GeForce RTX 4090,16,FALSE,Windows 11 OS
HP Pavilion Plus,HP,70490,2.86,Intel Core i5,12,16,LPDDR5X,512, SSD,Intel Iris Xe Graphics,14,FALSE,Windows 11 OS
Lenovo ThinkPad P14s,Lenovo,109990,3.28,AMD Ryzen 7,16,32,LPDDR5X,512, SSD,AMD Radeon Integrated Graphics,14,FALSE,Windows 11 OS
HP Envy x360,HP,86990,2.98,AMD Ryzen 5,12,16,LPDDR5,512, SSD,AMD Radeon Graphics,14,TRUE,Windows 11 OS
HP Pavilion 15,HP,55990,3.19,AMD Ryzen 5,12,16,DDR4,1000, SSD,AMD Radeon Graphics,15.6,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,59390,2.9,Intel Core i5,12,16,LPDDR5,512, SSD,Integrated Intel UHD Graphics,15.6,FALSE,Windows 11 OS
Infinix INBook Y2,Infinix,24990,3.04,Intel Core i3,4,8,LPDDR4X,512, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Lenovo V15 G4,Lenovo,33990,3.05,AMD Ryzen 5,8,8,LPDDR5,512, SSD,AMD Radeon Graphics,15.6,FALSE,Windows 11 OS
HP Envy x360,HP,105990,2.8,Intel Core Ultra,14,16,LPDDR5,512, SSD,Intel Integrated Intel Graphics,14,TRUE,Windows 11 OS
Asus Zenbook 14,Asus,149990,2.76,Intel Core Ultra,22,16,LPDDR5X,512, SSD,Intel Arc Graphics,14,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,35490,3.03,AMD Ryzen 5,12,8,DDR4,512, SSD,AMD Radeon Graphics,15.6,FALSE,Windows 11 OS
Lenovo LOQ 15APH8,Lenovo,98790,3.16,AMD Ryzen 7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 4060,15.6,FALSE,Windows 11 OS
Lenovo V15 G4,Lenovo,24790,3.2,AMD Athlon Silver,2,8,LPDDR5,512, SSD,AMD Radeon 610M,15.6,FALSE,Windows 11 OS
Acer Aspire Lite,Acer,39999,3.28,AMD Ryzen 5,12,16,DDR4,1000, SSD,AMD Graphics,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,52850,3.11,AMD Ryzen 5,12,8,DDR5,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Zebronics Pro Series,Zebronics,23990,3.06,Intel Core i3,8,8,LPDDR4,512, SSD,Intel Integrated UHD,15.6,FALSE,Windows 11 OS
Asus Vivobook 16,Asus,80739,2.84,Intel Core i9,20,16,DDR4,512, SSD,Integrated Intel Iris Xe Graphics,16,FALSE,Windows 11 OS
Dell Inspiron 15,Dell,52249,2.93,Intel Core i5,12,16,DDR4,512, SSD,Intel Integrated Graphics,15.6,FALSE,Windows 11 OS
HP 15S FQ5202TU,HP,48990,2.77,Intel Core i5,12,8,DDR4,512, SSD,Intel Iris Xe Graphics,15.6,FALSE,Windows 11 OS
HP Victus 15,HP,85990,3.35,Intel Core i7,16,16,DDR4,1000, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
HP Victus 16,HP,81990,3.31,AMD Ryzen 7,16,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3050,16.1,FALSE,Windows 11 OS
HP Victus 15,HP,79990,3.24,Intel Core i7,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
Lenovo LOQ 15APH8,Lenovo,79990,3.19,AMD Ryzen 7,16,16,DDR5,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
HP Omen 16,HP,126499,3.3,Intel Core i7,24,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,16.1,FALSE,Windows 11 OS
Asus ROG Zephyrus,Asus,119000,3.31,Intel Core i7,20,16,DDR4,1000, SSD,NVIDIA GeForce RTX 4050,16,FALSE,Windows 11 OS
Walker NU14A1 Laptop,Walker,12990,3.36,Intel Celeron ,2,4,DDR4,128, SSD,Intel Integrated UHD Graphics,14.1,FALSE,Windows 11 OS
HP Pavilion Plus,HP,72490,2.85,Intel Core i5,16,16,DDR4,512, SSD,Intel Iris Xe Graphics,14,FALSE,Windows 11 OS
Infinix Zerobook ZL513,Infinix,49990,2.94,Intel Core i5,16,16,LPDDR5X,512, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Asus TUF Gaming,Asus,72990,3.26,Intel Core i5,16,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,15.6,FALSE,Windows 11 OS
Dell Inspiron 5630,Dell,72990,2.85,Intel Core i5,16,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,16,FALSE,Windows 11 OS
